x,y,z
330,107,1587
330,107,1587
328,115,1726
328,115,1726
328,115,1726
328,115,1726
328,115,1726
328,115,1726
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,115,1729
331,120,1884
331,120,1884
331,120,1884
331,120,1884
343,132,1703
343,132,1703
343,132,1703
343,132,1703
334,123,1830
334,123,1830
358,146,1312
358,146,1312
358,146,1312
358,146,1312
358,146,1312
358,146,1312
339,133,1562
339,133,1562
347,144,1389
347,144,1389
347,143,1425
347,143,1425
334,145,1517
334,145,1517
336,142,1530
336,142,1530
332,145,1681
332,145,1681
357,157,1709
357,157,1716
357,158,1724
357,158,1724
357,158,1762
357,157,1754
327,133,1865
327,133,1865
353,154,1689
353,154,1689
353,154,1689
353,154,1689
353,154,1689
345,158,1570
345,158,1570
349,157,1603
357,156,1670
359,154,1693
359,154,1693
359,154,1693
359,154,1693
326,132,1898
341,162,1508
341,162,1508
327,131,1915
359,158,1703
358,157,1694
357,163,1287
357,163,1287
357,163,1287
357,163,1287
357,163,1287
357,163,1287
323,132,1904
323,131,1912
324,132,1904
324,131,1913
324,136,1808
324,136,1808
326,146,1608
326,146,1608
327,158,1421
327,158,1421
327,156,1425
327,156,1425
329,157,1505
330,158,1559
329,158,1532
329,158,1524
328,157,1463
329,157,1444
329,157,1464
330,158,1483
328,157,1429
328,156,1425
327,157,1429
328,159,1433
329,157,1429
328,156,1425
328,157,1429
327,157,1436
331,157,1430
330,156,1426
329,158,1456
329,158,1456
329,157,1464
328,152,1551
326,142,1687
326,142,1687
326,146,1600
326,146,1600
329,157,1429
328,158,1420
328,157,1409
328,157,1409
327,159,1397
327,159,1397
328,157,1393
328,157,1401
329,158,1441
329,158,1441
329,157,1429
329,156,1417
329,158,1448
329,158,1448
319,157,1448
318,158,1440
316,157,1384
316,157,1384
316,157,1376
314,158,1351
325,131,1902
325,131,1902
325,131,1902
320,131,1950
320,132,1956
320,132,1956
320,131,1950
320,131,1950
318,131,1907
318,132,1922
320,131,1949
320,131,1949
318,131,1915
318,132,1907
318,131,1916
318,131,1924
319,132,1939
320,132,1955
335,145,1747
335,145,1747
353,160,1364
353,160,1364
353,160,1364
353,160,1364
353,160,1364
353,160,1364
353,160,1364
353,160,1364
331,143,1961
331,143,1961
332,144,1922
332,144,1922
330,143,1993
330,143,1993
330,143,2014
330,143,2014
331,159,2066
331,159,2066
330,157,2080
330,153,2063
314,175,1535
314,175,1535
310,193,1389
312,192,1396
317,193,1609
317,194,1592
341,158,2099
341,158,2099
341,157,2095
341,157,2095
332,161,2108
332,161,2108
334,157,2044
336,155,2010
334,159,2023
334,159,2023
333,157,2057
333,157,2057
347,158,1515
347,158,1515
359,167,1391
359,167,1391
359,167,1391
359,167,1391
359,167,1391
355,169,1438
355,169,1438
331,169,1334
331,169,1334
331,169,1334
311,131,1399
311,131,1399
311,131,1399
311,131,1412
309,219,1657
309,220,1652
313,219,1635
314,220,1646
328,119,1358
328,119,1358
334,120,1197
334,120,1197
335,119,1142
335,119,1142
343,107,1368
343,107,1368
311,225,1600
311,225,1600
342,101,1606
342,101,1606
